Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-11-02,,,,,0.00023,0.45037,0.0,6820.0
2015-10-30,,,,,0.00034,0.4506,0.0,6820.0
2015-10-29,,,,,0.00012,0.45026,0.0,6820.0
2015-10-28,,,,,0.00312,0.45014,0.0,6820.0
2015-10-27,,,,,0.00145,0.44702,0.0,6820.0
2015-10-26,,,,,0.00176,0.44847,0.0,6820.0
2015-10-23,0.45023,0.45023,0.45023,0.45023,0.00059,0.45023,0.0,6820.0
2015-10-22,0.45082,0.45082,0.45082,0.45082,0.00127,0.45082,0.0,6820.0
2015-10-21,0.44955,0.44955,0.44955,0.44955,0.00051,0.44955,0.0,6820.0
2015-10-20,0.45006,0.45006,0.45006,0.45006,0.00049,0.45006,0.0,6820.0
2015-10-19,0.44957,0.44957,0.44957,0.44957,0.00932,0.44957,0.0,6820.0
2015-10-16,0.45889,0.45889,0.45889,0.45889,0.00477,0.45889,0.0,6820.0
2015-10-15,0.45412,0.45412,0.45412,0.45412,0.00744,0.45412,0.0,6820.0
2015-10-14,0.46156,0.46156,0.46156,0.46156,0.00688,0.46156,0.0,6820.0
2015-10-13,0.46844,0.46844,0.46844,0.46844,0.00383,0.46844,0.0,6820.0
2015-10-12,0.47227,0.47227,0.47227,0.47227,0.01682,0.47227,0.0,6820.0
2015-10-09,0.48909,0.48909,0.48909,0.48909,0.00782,0.48909,0.0,6820.0
2015-10-08,0.49691,0.49691,0.49691,0.49691,0.00271,0.49691,0.0,6820.0
2015-10-07,0.4942,0.4942,0.4942,0.4942,0.00427,0.4942,45.0,6856.0
2015-10-06,0.49847,0.49847,0.49847,0.49847,0.01503,0.49847,45.0,6820.0
2015-10-05,0.48344,0.48344,0.48344,0.48344,0.01392,0.48344,25.0,6779.0
2015-10-02,0.455,0.455,0.455,0.455,0.00202,0.46952,3.0,6778.0
2015-10-01,0.45476,0.45476,0.45476,0.45476,9.0e-05,0.45476,0.0,4806.0
2015-09-30,0.4547,0.4547,0.4547,0.4547,0.00012,0.4547,0.0,4806.0
2015-09-29,0.45482,0.45482,0.45482,0.45482,0.00012,0.45482,0.0,4806.0
2015-09-28,0.4547,0.4547,0.4547,0.4547,0.00107,0.4547,0.0,4806.0
2015-09-25,0.45577,0.45577,0.45577,0.45577,0.00012,0.45577,0.0,4806.0
2015-09-24,0.45565,0.45565,0.45565,0.45565,6.000000000000001e-05,0.45565,0.0,4806.0
2015-09-23,0.45571,0.45571,0.45571,0.45571,0.00119,0.45571,0.0,4806.0
2015-09-22,0.45452,0.45452,0.45452,0.45452,0.00074,0.45452,0.0,4806.0
